frame_idx,timestamp_sec,x_pixel,y_pixel,x_mm,delta_x_mm,cell_number
394,17.546,556.3,432.5,0.4745,-0.168,5
395,17.5905,560.5,438.1,0.4498,-0.0247,-1
396,17.6351,559.4,448.2,0.4568,0.007,5
397,17.6796,528.2,395.6,0.6401,0.1833,7
398,17.7241,505.9,357.9,0.7712,0.1312,8
399,17.7687,489.4,330.0,0.8685,0.0973,9
400,17.8132,502.9,271.8,0.7887,-0.0799,8
401,17.8577,504.4,270.4,0.7798,-0.0089,-1
402,17.9023,506.0,269.1,0.7708,-0.0089,-1
403,17.9468,507.5,267.7,0.7619,-0.0089,-1
404,17.9913,509.0,266.4,0.753,-0.0089,-1
405,18.0359,510.5,265.0,0.7441,-0.0089,-1
406,18.0804,477.4,256.2,0.9386,0.1944,10
407,18.1249,477.7,254.6,0.9369,-0.0017,-1
408,18.1695,478.0,252.9,0.9352,-0.0017,-1
409,18.214,544.9,350.2,0.542,-0.3932,6
410,18.2585,547.5,352.0,0.5267,-0.0153,-1
411,18.3031,550.1,353.8,0.5113,-0.0153,-1
412,18.3476,365.3,203.5,1.5983,1.0869,16
413,18.3921,361.4,200.1,1.6211,0.0228,-1
414,18.4367,294.8,144.2,2.0127,0.3916,21
415,18.4812,232.8,94.5,2.3779,0.3652,24
416,18.5257,309.0,199.3,1.9296,-0.4483,20
417,18.5703,303.9,196.4,1.9592,0.0296,-1
418,18.6148,298.9,193.6,1.9888,0.0296,-1
419,18.6593,257.7,143.8,2.2309,0.2422,23
420,18.7039,303.7,150.4,1.9608,-0.2701,20
421,18.7484,364.3,233.6,1.6044,-0.3564,17
422,18.7929,380.1,229.4,1.5111,-0.0933,16
423,18.8375,378.7,228.4,1.5194,0.0083,-1
424,18.882,377.3,227.3,1.5278,0.0083,-1
425,18.9265,375.9,226.2,1.5361,0.0083,-1
426,18.9711,374.4,225.1,1.5444,0.0083,-1
427,19.0156,373.0,224.1,1.5528,0.0083,-1
428,19.0601,371.6,223.0,1.5611,0.0083,-1
429,19.1047,370.2,221.9,1.5694,0.0083,-1
430,19.1492,368.8,220.8,1.5777,0.0083,-1
431,19.1937,367.4,219.8,1.5861,0.0083,-1
432,19.2383,366.0,218.7,1.5944,0.0083,-1
433,19.2828,364.5,217.6,1.6027,0.0083,-1
434,19.3273,363.1,216.6,1.6111,0.0083,-1
435,19.3719,543.4,128.8,0.5503,-1.0608,6
436,19.4164,495.1,171.1,0.8344,0.2841,9
437,19.4609,497.8,168.7,0.8189,-0.0155,-1
438,19.5055,500.4,166.4,0.8034,-0.0155,-1
439,19.55,559.7,119.3,0.4549,-0.3485,5
440,19.5945,564.2,115.5,0.4284,-0.0265,-1
441,19.6391,568.7,111.6,0.402,-0.0265,-1
442,19.6836,469.0,71.1,0.9881,0.5862,10
443,19.7281,470.0,66.0,0.9823,-0.0058,-1
444,19.7727,471.0,61.0,0.9766,-0.0058,-1
445,19.8172,472.0,55.9,0.9708,-0.0058,-1
446,19.8617,472.9,50.9,0.965,-0.0058,-1
447,19.9063,473.9,45.8,0.9593,-0.0058,-1
448,19.9508,474.9,40.8,0.9535,-0.0058,-1
449,19.9953,475.9,35.7,0.9477,-0.0058,-1
450,20.0399,476.9,30.6,0.942,-0.0058,-1
451,20.0844,477.8,25.6,0.9362,-0.0058,-1
